"'@timestamp","agent.build.original","agent.ephemeral_id","agent.id","agent.name","agent.type","agent.version","browser.experience.cls","browser.experience.dcl.us","browser.experience.fcp.us","browser.experience.lcp.us","browser.experience.load.duration","browser.experience.load.us","browser.relative_trace.duration.us","browser.relative_trace.name","browser.relative_trace.score","browser.relative_trace.start.us","browser.relative_trace.type","ci.@timestamp","ci.asset_tag","ci.assignment_group","ci.category.1","ci.category.1.normalized","ci.category.2","ci.category.2.normalized","ci.class","ci.class_name","ci.class_name.normalized","ci.company.datasource","ci.company.industry","ci.company.industry.normalized","ci.company.iris_code","ci.company.is_active","ci.company.is_parent","ci.company.name","ci.company.name.normalized","ci.company.parent.name","ci.company.parent.name.normalized","ci.company.parent.sys_id","ci.company.rbu","ci.company.rbu.normalized","ci.company.sub_industry","ci.company.sub_industry.normalized","ci.company.sys_id","ci.company.updated_at","ci.created_at","ci.criticality","ci.criticality_name","ci.criticality_name.normalized","ci.customer_id","ci.customer_specific_data.1","ci.customer_specific_data.2","ci.customer_specific_data.3","ci.datasource","ci.environment","ci.extracted_at","ci.fqdn","ci.geo.city.name","ci.geo.city.name.normalized","ci.geo.city.sys_id","ci.geo.continent","ci.geo.country.iso_code","ci.geo.country.name","ci.geo.country.name.normalized","ci.geo.country.sys_id","ci.geo.datasource","ci.geo.formatted_address","ci.geo.is_active","ci.geo.location","ci.geo.location_code","ci.geo.location_code.normalized","ci.geo.name","ci.geo.place_id","ci.geo.state.name","ci.geo.state.name.normalized","ci.geo.state.sys_id","ci.geo.sys_id","ci.geo.type","ci.geo.updated_at","ci.id","ci.ingest_error.message","ci.ingest_error.message.keywords","ci.ingest_error.message.text","ci.ingested_at","ci.install_status","ci.ip_address","ci.is_monitored","ci.is_stale","ci.is_top_level_ci","ci.last_discovered","ci.mac_address","ci.manufacturer.name","ci.manufacturer.name.normalized","ci.manufacturer.sys_id","ci.model.name","ci.model.name.normalized","ci.model.number","ci.model.sys_id","ci.name","ci.name.normalized","ci.name_normalized","ci.number","ci.operational_status","ci.os.family","ci.os.family.normalized","ci.os.kernel","ci.os.kernel.normalized","ci.os.name","ci.os.name.normalized","ci.os.version","ci.os.version.normalized","ci.paladin_map.sys_id","ci.parents.class","ci.parents.id","ci.parents.name","ci.parents.name.normalized","ci.priority","ci.raw_data.name","ci.raw_data.name.normalized","ci.service_classification","ci.service_classification.normalized","ci.short_description","ci.short_description.keywords","ci.short_description.text","ci.support_group.l1.name","ci.support_group.l1.name.normalized","ci.support_group.l1.sys_id","ci.support_group.l2.name","ci.support_group.l2.name.normalized","ci.support_group.l2.sys_id","ci.support_group.l3.name","ci.support_group.l3.name.normalized","ci.support_group.l3.sys_id","ci.sync_metadata.id","ci.sync_metadata.name","ci.sync_metadata.name.text","ci.sync_metadata.timestamp","ci.sys_id","ci.top_level_ci_depth","ci.top_level_parents.class","ci.top_level_parents.id","ci.top_level_parents.name","ci.top_level_parents.name.normalized","ci.unit","ci.updated_at","cloud.account.id","cloud.account.name","cloud.availability_zone","cloud.image.id","cloud.instance.id","cloud.instance.name","cloud.machine.type","cloud.project.id","cloud.project.name","cloud.provider","cloud.region","config_id","container.id","container.image.name","container.image.tag","container.name","container.runtime","data_stream.dataset","data_stream.namespace","data_stream.type","dataset.name","dataset.namespace","dataset.type","dns.answers.class","dns.answers.data","dns.answers.name","dns.answers.ttl","dns.answers.type","dns.header_flags","dns.id","dns.op_code","dns.question.class","dns.question.name","dns.question.registered_domain","dns.question.subdomain","dns.question.top_level_domain","dns.question.type","dns.resolved_ip","dns.response_code","dns.type","ecs.version","enrich_policy.cmdb-cis.class_match","enrich_policy.cmdb-cis.ip_match","enrich_policy.cmdb-cis.match_cnt","error.code","error.id","error.message","error.stack_trace","error.stack_trace.text","error.type","error_message","event.agent_id_status","event.dataset","event.ingested","event.type","http.request.body.bytes","http.request.body.content","http.request.body.content.text","http.request.bytes","http.request.method","http.request.mime_type","http.request.referrer","http.response.body.bytes","http.response.body.content","http.response.body.content.text","http.response.body.hash","http.response.bytes","http.response.headers.$wsep","http.response.headers.Accept-Ranges","http.response.headers.Access-Control-Allow-Origin","http.response.headers.Alt-Svc","http.response.headers.Cache-Control","http.response.headers.Connection","http.response.headers.Content-Disposition","http.response.headers.Content-Language","http.response.headers.Content-Length","http.response.headers.Content-Security-Policy","http.response.headers.Content-Type","http.response.headers.Date","http.response.headers.Etag","http.response.headers.Expect-Ct","http.response.headers.Expires","http.response.headers.Feature-Policy","http.response.headers.Gwcp-Proxy-Latency","http.response.headers.Gwcp-Response-Latency","http.response.headers.Gwcp-Upstream-Latency","http.response.headers.Last-Modified","http.response.headers.Link","http.response.headers.Location","http.response.headers.Microsoftsharepointteamservices","http.response.headers.Mime-Version","http.response.headers.P3p","http.response.headers.Pragma","http.response.headers.Referrer-Policy","http.response.headers.Refresh","http.response.headers.Server","http.response.headers.Server-Timing","http.response.headers.Set-Cookie","http.response.headers.Spiislatency","http.response.headers.Sprequestduration","http.response.headers.Sprequestguid","http.response.headers.Strict-Transport-Security","http.response.headers.Vary","http.response.headers.Www-Authenticate","http.response.headers.X-Akamai-Transformed","http.response.headers.X-Aspnet-Version","http.response.headers.X-Content-Security-Policy","http.response.headers.X-Content-Type-Options","http.response.headers.X-Correlation-Id","http.response.headers.X-Dns-Prefetch-Control","http.response.headers.X-Download-Options","http.response.headers.X-Envoy-Upstream-Service-Time","http.response.headers.X-Frame-Options","http.response.headers.X-Ibm-Ace-Message-Id","http.response.headers.X-Ms-Invokeapp","http.response.headers.X-Nonce-1","http.response.headers.X-Oag-Host","http.response.headers.X-Oneagent-Js-Injection","http.response.headers.X-Permitted-Cross-Domain-Policies","http.response.headers.X-Powered-By","http.response.headers.X-Ruxit-Js-Agent","http.response.headers.X-Webkit-Csp","http.response.headers.X-Xss-Protection","http.response.mime_type","http.response.redirects","http.response.status_code","http.rtt.content.us","http.rtt.response_header.us","http.rtt.total.us","http.rtt.validate.us","http.rtt.validate_body.us","http.rtt.write_request.us","http.version","icmp.requests","icmp.rtt.us","ingest.pipeline","ingest_error.enrich_policy_by_name","ingest_error.evaluate_unique_id","ingest_lag_in_sec","ingest_time","jolokia.agent.id","jolokia.agent.version","jolokia.secured","jolokia.server.product","jolokia.server.vendor","jolokia.server.version","jolokia.url",kibanaUrl,"kubernetes.container.image","kubernetes.container.name","kubernetes.deployment.name","kubernetes.namespace","kubernetes.node.hostname","kubernetes.node.name","kubernetes.pod.name","kubernetes.pod.uid","kubernetes.replicaset.name","kubernetes.statefulset.name","labels.service.name","labels.url.full","meta.space_id","monitor.check_group","monitor.duration.us","monitor.fleet_managed","monitor.id","monitor.id.text","monitor.interval","monitor.ip","monitor.name","monitor.name.text","monitor.origin","monitor.project.id","monitor.project.name","monitor.status","monitor.timespan","monitor.type","num_journeys","observer.geo.city_name","observer.geo.continent_name","observer.geo.country_iso_code","observer.geo.country_name","observer.geo.location","observer.geo.name","observer.geo.region_iso_code","observer.geo.region_name","observer.hostname","observer.ip","observer.mac","observer.name","observer.os.family","observer.os.full","observer.os.full.text","observer.os.kernel","observer.os.name","observer.os.name.text","observer.os.platform","observer.os.version","observer.product","observer.serial_number","observer.type","observer.vendor","observer.version","os.platform","package.name","package.name.text","package.version","paladin.enrichment.computed.conf_update_required","paladin.enrichment.monitor.actives","paladin.enrichment.monitor.condition","paladin.enrichment.monitor.inactives","resolve.ip","resolve.rtt.us","run_once","service.name","socks5.rtt.connect.us","state.checks","state.down","state.duration_ms","state.ends.checks","state.ends.down","state.ends.duration_ms","state.ends.id","state.ends.started_at","state.ends.status","state.ends.up","state.flap_history","state.id","state.started_at","state.status","state.up","summary.attempt","summary.down","summary.final_attempt","summary.max_attempts","summary.retry_group","summary.status","summary.up","synthetics.blob","synthetics.blob_mime","synthetics.error.duration.us","synthetics.error.message","synthetics.error.name","synthetics.error.stack","synthetics.index","synthetics.journey.id","synthetics.journey.name","synthetics.journey.tags","synthetics.package_version","synthetics.payload.message","synthetics.payload.source","synthetics.payload.status","synthetics.payload.url","synthetics.screenshot_ref.blocks.hash","synthetics.screenshot_ref.height","synthetics.screenshot_ref.width","synthetics.step.duration.us","synthetics.step.index","synthetics.step.name","synthetics.step.name.keyword","synthetics.step.status","synthetics.type",tags,"tcp.rtt.connect.us","tcp.rtt.validate.us","test_run_id","tls.certificate_not_valid_after","tls.certificate_not_valid_before","tls.cipher","tls.client.certificate","tls.client.certificate_chain","tls.client.hash.md5","tls.client.hash.sha1","tls.client.hash.sha256","tls.client.issuer","tls.client.ja3","tls.client.not_after","tls.client.not_before","tls.client.server_name","tls.client.subject","tls.client.supported_ciphers","tls.client.x509.alternative_names","tls.client.x509.issuer.common_name","tls.client.x509.issuer.country","tls.client.x509.issuer.distinguished_name","tls.client.x509.issuer.locality","tls.client.x509.issuer.organization","tls.client.x509.issuer.organizational_unit","tls.client.x509.issuer.state_or_province","tls.client.x509.not_after","tls.client.x509.not_before","tls.client.x509.public_key_algorithm","tls.client.x509.public_key_curve","tls.client.x509.public_key_exponent","tls.client.x509.public_key_size","tls.client.x509.serial_number","tls.client.x509.signature_algorithm","tls.client.x509.subject.common_name","tls.client.x509.subject.country","tls.client.x509.subject.distinguished_name","tls.client.x509.subject.locality","tls.client.x509.subject.organization","tls.client.x509.subject.organizational_unit","tls.client.x509.subject.state_or_province","tls.client.x509.version_number","tls.curve","tls.established","tls.next_protocol","tls.resumed","tls.rtt.handshake.us","tls.server.certificate","tls.server.certificate_chain","tls.server.hash.md5","tls.server.hash.sha1","tls.server.hash.sha256","tls.server.issuer","tls.server.ja3s","tls.server.not_after","tls.server.not_before","tls.server.subject","tls.server.version_number","tls.server.x509.alternative_names","tls.server.x509.issuer.common_name","tls.server.x509.issuer.country","tls.server.x509.issuer.distinguished_name","tls.server.x509.issuer.locality","tls.server.x509.issuer.organization","tls.server.x509.issuer.organizational_unit","tls.server.x509.issuer.state_or_province","tls.server.x509.not_after","tls.server.x509.not_before","tls.server.x509.public_key_algorithm","tls.server.x509.public_key_curve","tls.server.x509.public_key_exponent","tls.server.x509.public_key_size","tls.server.x509.serial_number","tls.server.x509.signature_algorithm","tls.server.x509.subject.common_name","tls.server.x509.subject.country","tls.server.x509.subject.distinguished_name","tls.server.x509.subject.locality","tls.server.x509.subject.organization","tls.server.x509.subject.organizational_unit","tls.server.x509.subject.state_or_province","tls.server.x509.version_number","tls.version","tls.version_protocol","url.domain","url.extension","url.fragment","url.full","url.full.keyword","url.full.text","url.original","url.original.text","url.password","url.path","url.port","url.query","url.registered_domain","url.scheme","url.subdomain","url.top_level_domain","url.username","x509.alternative_names","x509.issuer.common_name","x509.issuer.country","x509.issuer.distinguished_name","x509.issuer.locality","x509.issuer.organization","x509.issuer.organizational_unit","x509.issuer.state_or_province","x509.not_after","x509.not_before","x509.public_key_algorithm","x509.public_key_curve","x509.public_key_exponent","x509.public_key_size","x509.serial_number","x509.signature_algorithm","x509.subject.common_name","x509.subject.country","x509.subject.distinguished_name","x509.subject.locality","x509.subject.organization","x509.subject.organizational_unit","x509.subject.state_or_province","x509.version_number"
"2026-09-22T00:40:06.366-05:00",,"be8abdd4-0614-401f-a669-1efd975b1067","62ba9668-1e9b-4734-91ec-7b7038415705",vslrau1p301,heartbeat,"9.3.5",,,,,,,,,,,,"2026-09-21T22:39:12.618-05:00","ab 91 41 2c 9a 70 ab e1",,Hardware,hardware,Computer,computer,"cmdb_ci_linux_server","Linux Server","linux server",,,,,,,,,,,,,,,,,,"2021-12-23T19:20:27.000Z",,,,,,,,"cnaprod.service-now",prod,"2026-09-22T03:39:12.618Z","VSLRAU1P301.CNA.COM",Aurora,aurora,,,US,"United States","united states",,"cnaprod.service-now.geocode-enriched-by-paladin","4267 Meridian Pkwy, Aurora, IL 60504, USA",,"POINT (-88.2170549 41.7722028)",,,"Aurora - IL70",ChIJ57GUBrr5DogRda6waiyqj4c,Illinois,illinois,,79c8b40adb664300643cb96c4e9619a6,,"2025-11-11T04:01:21.000-06:00",ea4779ae1be08910314a98ac0a4bcbb2,,,,"2026-09-22T03:39:12.869214989Z",Installed,"10.12.11.91",true,false,,"2026-09-19T06:35:01.000Z",,,,,,,,,vslrau1p301,vslrau1p301,vslrau1p301,,Operational,,,,,,,,,,,,,,3,,,,,"Linux vslrau1p301 4.18.0-553.162.1.el8_10.x86_64 #1 SMP Tue Sep 8 20:58:42 EDT 2026 x86_64 x86_64 x86_64 GNU/Linux","Linux vslrau1p301 4.18.0-553.162.1.el8_10.x86_64 #1 SMP Tue Sep 8 20:58:42 EDT 2026 x86_64 x86_64 x86_64 GNU/Linux","Linux vslrau1p301 4.18.0-553.162.1.el8_10.x86_64 #1 SMP Tue Sep 8 20:58:42 EDT 2026 x86_64 x86_64 x86_64 GNU/Linux",,,,"IT.I.Unix_Engineering.Server_Services_Unix","it.i.unix_engineering.server_services_unix",d980f9ccdba24340643cb96c4e96199f,,,,"8a8b6907-0dcd-41cf-945e-2b57b0a01294","full_sync","full_sync","2026-09-21T22:32:02.878-05:00",ea4779ae1be08910314a98ac0a4bcbb2,,,,,,,"2026-09-19T01:35:01.000-05:00",,,,,,,,,,,,"cf5b1c9b-4029-4eff-b371-d254c19b16de",,,,,,browser,default,synthetics,,,,,,,,,,,,,,,,,,,,,"8.0.0",,,,"AGENT_NOT_BROWSER_CAPABLE",,"journey did not finish executing, 0 steps ran (attempt: 1): job could not be initialized: browser monitors cannot be created outside the official elastic docker image",,,io,"journey did not finish executing, 0 steps ran (attempt: 1): job could not be initialized: browser monitors cannot be created outside the official elastic docker image",mismatch,browser,"2026-09-22T00:40:16.000-05:00","heartbeat/summary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"paladin-monitoring-enrichment,synthetics",,"Processor <script> with tag <evaluate_unique_id> in pipeline <paladin-monitoring-enrichment> failed with message <cannot access method/field [full] from a null def reference>",10,"2026-09-22T05:40:16.438251211Z",,,,,,,,,,,,,,,,,,,,,default,"10f62f1e-b648-11f1-8533-005056abda20-1",,true,"adding and removing multiple tasks-aurora3-default","adding and removing multiple tasks-aurora3-default",,,"adding and removing multiple tasks","adding and removing multiple tasks",project,aurora3,aurora3,down,"2026-09-22T05:40:06.366Z..2026-09-22T05:41:06.366Z",browser,,,,,,,"Aurora 3",,,,,,"d3d96bc0-172e-11ee-8903-5114655e6590",,,,,,,,,,,,,,,,,,,,,,,,,,,81197,81197,4872151728,,,,,,,,,"d3d96bc0-172e-11ee-8903-5114655e6590-19fa539c5ae-0","2026-07-27T15:17:34.638-05:00",down,0,1,1,true,1,"10f62f1e-b648-11f1-8533-005056abda20",down,0,,,,,,,,,,,,,,,,,,,,,,,,"heartbeat/summary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2026-09-22T00:40:06.366-05:00",,"be8abdd4-0614-401f-a669-1efd975b1067","62ba9668-1e9b-4734-91ec-7b7038415705",vslrau1p301,heartbeat,"9.3.5",,,,,,,,,,,,"2026-09-21T22:39:12.618-05:00","ab 91 41 2c 9a 70 ab e1",,Hardware,hardware,Computer,computer,"cmdb_ci_linux_server","Linux Server","linux server",,,,,,,,,,,,,,,,,,"2021-12-23T19:20:27.000Z",,,,,,,,"cnaprod.service-now",prod,"2026-09-22T03:39:12.618Z","VSLRAU1P301.CNA.COM",Aurora,aurora,,,US,"United States","united states",,"cnaprod.service-now.geocode-enriched-by-paladin","4267 Meridian Pkwy, Aurora, IL 60504, USA",,"POINT (-88.2170549 41.7722028)",,,"Aurora - IL70",ChIJ57GUBrr5DogRda6waiyqj4c,Illinois,illinois,,79c8b40adb664300643cb96c4e9619a6,,"2025-11-11T04:01:21.000-06:00",ea4779ae1be08910314a98ac0a4bcbb2,,,,"2026-09-22T03:39:12.869214989Z",Installed,"10.12.11.91",true,false,,"2026-09-19T06:35:01.000Z",,,,,,,,,vslrau1p301,vslrau1p301,vslrau1p301,,Operational,,,,,,,,,,,,,,3,,,,,"Linux vslrau1p301 4.18.0-553.162.1.el8_10.x86_64 #1 SMP Tue Sep 8 20:58:42 EDT 2026 x86_64 x86_64 x86_64 GNU/Linux","Linux vslrau1p301 4.18.0-553.162.1.el8_10.x86_64 #1 SMP Tue Sep 8 20:58:42 EDT 2026 x86_64 x86_64 x86_64 GNU/Linux","Linux vslrau1p301 4.18.0-553.162.1.el8_10.x86_64 #1 SMP Tue Sep 8 20:58:42 EDT 2026 x86_64 x86_64 x86_64 GNU/Linux",,,,"IT.I.Unix_Engineering.Server_Services_Unix","it.i.unix_engineering.server_services_unix",d980f9ccdba24340643cb96c4e96199f,,,,"8a8b6907-0dcd-41cf-945e-2b57b0a01294","full_sync","full_sync","2026-09-21T22:32:02.878-05:00",ea4779ae1be08910314a98ac0a4bcbb2,,,,,,,"2026-09-19T01:35:01.000-05:00",,,,,,,,,,,,"94b1b2a5-1652-4a06-8c55-21ef1b5278d3",,,,,,browser,default,synthetics,,,,,,,,,,,,,,,,,,,,,"8.0.0",,,,"AGENT_NOT_BROWSER_CAPABLE",,"journey did not finish executing, 0 steps ran (attempt: 1): job could not be initialized: browser monitors cannot be created outside the official elastic docker image",,,io,"journey did not finish executing, 0 steps ran (attempt: 1): job could not be initialized: browser monitors cannot be created outside the official elastic docker image",mismatch,browser,"2026-09-22T00:40:16.000-05:00","heartbeat/summary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"paladin-monitoring-enrichment,synthetics",,"Processor <script> with tag <evaluate_unique_id> in pipeline <paladin-monitoring-enrichment> failed with message <cannot access method/field [full] from a null def reference>",10,"2026-09-22T05:40:16.439601775Z",,,,,,,,,,,,,,,,,,,,,default,"10f62ee6-b648-11f1-8533-005056abda20-1",,true,"addition and completion of single task-aurora3-default","addition and completion of single task-aurora3-default",,,"addition and completion of single task","addition and completion of single task",project,aurora3,aurora3,down,"2026-09-22T05:40:06.366Z..2026-09-22T05:41:06.366Z",browser,,,,,,,"Aurora 3",,,,,,"d3d96bc0-172e-11ee-8903-5114655e6590",,,,,,,,,,,,,,,,,,,,,,,,,,,81197,81197,4872151501,,,,,,,,,"d3d96bc0-172e-11ee-8903-5114655e6590-19fa539c691-0","2026-07-27T15:17:34.865-05:00",down,0,1,1,true,1,"10f62ee6-b648-11f1-8533-005056abda20",down,0,,,,,,,,,,,,,,,,,,,,,,,,"heartbeat/summary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2026-09-22T00:39:45.152-05:00",,"81a5b3b7-37c2-4603-8a2e-db8aa996937f","22ef764a-5a38-4708-ac58-7b2e4813d307",vslrau1p300,heartbeat,"9.3.5",,,,,,,,,,,,"2026-09-21T22:39:12.619-05:00","b5 c0 a5 5f 66 e6 1a ad",,Hardware,hardware,Computer,computer,"cmdb_ci_linux_server","Linux Server","linux server",,,,,,,,,,,,,,,,,,"2021-12-23T19:19:44.000Z",,,,,,,,"cnaprod.service-now",prod,"2026-09-22T03:39:12.618Z","VSLRAU1P300.CNA.COM",Aurora,aurora,,,US,"United States","united states",,"cnaprod.service-now.geocode-enriched-by-paladin","4267 Meridian Pkwy, Aurora, IL 60504, USA",,"POINT (-88.2170549 41.7722028)",,,"Aurora - IL70",ChIJ57GUBrr5DogRda6waiyqj4c,Illinois,illinois,,79c8b40adb664300643cb96c4e9619a6,,"2025-11-11T04:01:21.000-06:00",bb1771ae1be08910314a98ac0a4bcbda,,,,"2026-09-22T03:39:12.869556650Z",Installed,"10.12.11.90",true,false,,"2026-09-19T06:35:22.000Z",,,,,,,,,vslrau1p300,vslrau1p300,vslrau1p300,,Operational,,,,,,,,,,,,,,3,,,,,"Linux vslrau1p300 4.18.0-553.162.1.el8_10.x86_64 #1 SMP Tue Sep 8 20:58:42 EDT 2026 x86_64 x86_64 x86_64 GNU/Linux","Linux vslrau1p300 4.18.0-553.162.1.el8_10.x86_64 #1 SMP Tue Sep 8 20:58:42 EDT 2026 x86_64 x86_64 x86_64 GNU/Linux","Linux vslrau1p300 4.18.0-553.162.1.el8_10.x86_64 #1 SMP Tue Sep 8 20:58:42 EDT 2026 x86_64 x86_64 x86_64 GNU/Linux",,,,"IT.I.Unix_Engineering.Server_Services_Unix","it.i.unix_engineering.server_services_unix",d980f9ccdba24340643cb96c4e96199f,,,,"8a8b6907-0dcd-41cf-945e-2b57b0a01294","full_sync","full_sync","2026-09-21T22:32:02.878-05:00",bb1771ae1be08910314a98ac0a4bcbda,,,,,,,"2026-09-19T01:35:22.000-05:00",,,,,,,,,,,,"7d48df5d-4e9b-4695-b1b5-36ca5bc23b8a",,,,,,http,"bridge_p",synthetics,,,,,,,,,,,,,,,,,,,,,"8.0.0",,,,,,,,,,,mismatch,http,"2026-09-22T00:39:45.000-05:00","heartbeat/summary",,,,,,,,16,,,123b263cbdff912e77daea63a3c0c1c68639a59e3bb021bf3f40b7b17d35ce7a,,,,,,,,,,16,,"text/plain; charset=utf-8","Tue, 22 Sep 2026 05:39:45 GMT",,,,,,,,,,,"16.0.0.10417",,,,,,"Microsoft-IIS/10.0",,,1,4,,,,NTLM,,,,nosniff,,,,,,,"1; RequireReadOnly",,,,,"ASP.NET",,,,"text/plain; charset=utf-8",,401,212,103697,398243,103909,,67,,,,"paladin-monitoring-enrichment,synthetics",,,0,"2026-09-22T05:39:45.856490415Z",,,,,,,,,,,,,,,,,,,,,"bridge-p","04144b1f-b648-11f1-afca-005056ab6ddd-1",399022,true,"7d48df5d-4e9b-4695-b1b5-36ca5bc23b8a","7d48df5d-4e9b-4695-b1b5-36ca5bc23b8a",,"10.2.100.12","https://cw.eu.cna.com/pages/home.aspx","https://cw.eu.cna.com/pages/home.aspx",ui,,,up,"2026-09-22T05:39:45.152Z..2026-09-22T05:44:45.152Z",http,,,,,,,"Aurora 2",,,,,,"1238c970-172e-11ee-8877-0fa1578c1b40",,,,,,,,,,,,,,,,,,false,"paladin-url-availability-c0:8692e3debea9783c58350f697cf66a5c1c06673ce6f31edec9ba58ee78afbdec",,,"10.2.100.12",647,,,,5899,1,1768705418,,,,,,,,,"1238c970-172e-11ee-8877-0fa1578c1b40-1a05e3447f6-7","2026-09-01T13:21:19.734-05:00",up,5898,1,0,true,2,"04144b1f-b648-11f1-afca-005056ab6ddd",up,1,,,,,,,,,,,,,,,,,,,,,,,,,,95046,,,,,"ECDHE-RSA-AES-256-GCM-SHA384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,199127,,,,2c786faf5bc7fed558aae4936f2267df312c8e11,3b003a8bc99058dcf9c9b06402dba26bec6341f3a306aeb5be871761db29184c,,,,,,,,"CNA Enterprise CA",,"CN=CNA Enterprise CA,0.9.2342.19200300.100.1.25=#1303636e61,0.9.2342.19200300.100.1.25=#1303636f6d",,,,,"2028-05-11T07:24:32.000-05:00","2026-05-12T07:24:32.000-05:00",RSA,,65537,2048,1850961879918243680281135087963173654771012965,"SHA256-RSA","cw.eu.cna.com",,"CN=cw.eu.cna.com,OU=Sharepoint - SP2013 Prod claims workflow,O=CNA Financial Corporations,L=Slough,ST=London,C=GB",,,,,,"1.2",tls,"cw.eu.cna.com",,,"https://cw.eu.cna.com/pages/home.aspx","https://cw.eu.cna.com/pages/home.aspx","https://cw.eu.cna.com/pages/home.aspx",,,,"/pages/home.aspx",443,,,https,,,,,,,,,,,,,,,,,,,,,,,,,,,
