docs,"gcp.labels.resource.database_id","gcp.labels.metrics.database"
35,"cna-g-pre-proj-ilap:g-pre-ete1-ilap-csql-pg","ilap_db"
35,"cna-g-pre-proj-ilap:g-pre-ete1-ilap-csql-pg",postgres
35,"cna-g-pre-proj-ilap:g-pre-ete1-ilap-csql-pg",cloudsqladmin
30,"cna-g-pre-proj-ilap:g-pre-cut3-ilap-csql-pg",template1
30,"cna-g-pre-proj-ilap:g-pre-cut1-ilap-csql-pg",postgres
30,"cna-g-pre-proj-ilap:g-pre-cut4-ilap-csql-pg",cloudsqladmin
30,"cna-g-pre-proj-ilap:g-pre-cut2-ilap-csql-pg","ilap_db"
30,"cna-g-pre-proj-ilap:g-pre-cut4-ilap-csql-pg",postgres
30,"cna-g-pre-proj-ilap:g-pre-cut1-ilap-csql-pg",cloudsqladmin
30,"cna-g-pre-proj-ilap:g-pre-cut2-ilap-csql-pg",template1
30,"cna-g-pre-proj-ilap:g-pre-cut3-ilap-csql-pg","ilap_db"
30,"cna-g-pre-proj-ilap:g-pre-cut2-ilap-csql-pg",postgres
30,"cna-g-pre-proj-ilap:g-pre-cut1-ilap-csql-pg",template1
30,"cna-g-pre-proj-ilap:g-pre-cut4-ilap-csql-pg",template1
30,"cna-g-pre-proj-ilap:g-pre-cut1-ilap-csql-pg","ilap_db"
30,"cna-g-pre-proj-ilap:g-pre-cut4-ilap-csql-pg","ilap_db"
30,"cna-g-pre-proj-ilap:g-pre-cut3-ilap-csql-pg",cloudsqladmin
30,"cna-g-pre-proj-ilap:g-pre-cut3-ilap-csql-pg",postgres
30,"cna-g-pre-proj-ilap:g-pre-cut2-ilap-csql-pg",cloudsqladmin
